Code;Denominación;Serie;Acabado;Cierre;Cabecero;NumBis;Alto;Ancho;Tarifa
;;MRE;;;S;;219;625;444,438
;;MRE;;;S;;235;625;451,66
;;MRE;;;S;;255;625;492,058
;;MRE;;;S;;275;625;518,532
;;MRE;;;S;;300;625;506,499
;;MRE;;;S;;219;725;447,866
;;MRE;;;S;;235;725;455,085
;;MRE;;;S;;255;725;495,485
;;MRE;;;S;;275;725;521,959
;;MRE;;;S;;300;725;509,925
;;MRE;;;S;;219;825;451,293
;;MRE;;;S;;235;825;458,513
;;MRE;;;S;;255;825;498,913
;;MRE;;;S;;275;825;525,386
;;MRE;;;S;;300;825;513,352
;;MRE;;;S;;219;925;461,524
;;MRE;;;S;;235;925;461,94
;;MRE;;;S;;255;925;502,338
;;MRE;;;S;;275;925;528,813
;;MRE;;;S;;300;925;516,779
;;MRE;;;S;;219;1025;464,611
;;MRE;;;S;;235;1025;465,367
;;MRE;;;S;;255;1025;505,766
;;MRE;;;S;;275;1025;532,239
;;MRE;;;S;;300;1025;520,206
;;MRE;;;N;;219;;395,84
;;MRE;;;N;;235;;403,061
;;MRE;;;N;;255;;407,874
;;MRE;;;N;;275;;434,352
;;MRE;;;N;;300;;422,308
MRN.03.72;BLOCK RASOMURO 45/12 203x72,5cm;MRN;;;;3;;;475,435
MRN.03.82;BLOCK RASOMURO 45/12 203x82,5cm;MRN;;;;3;;;477,496
MRN.03.92;BLOCK RASOMURO 45/12 203x92,5cm;MRN;;;;3;;;491,504
MRN.03.102;BLOCK RASOMURO 45/12 203x102,5cm;MRN;;;;3;;;499,521
MRN.11.72;BLOCK RASOMURO 45/12 211x72,5cm;MRN;;;;3;;;486,28
MRN.11.82;BLOCK RASOMURO 45/12 211x82,5cm;MRN;;;;3;;;489,107
MRN.11.92;BLOCK RASOMURO 45/12 211x92,5cm;MRN;;;;3;;;508,068
MRN.11.102;BLOCK RASOMURO 45/12 211x102,5cm;MRN;;;;3;;;516,766
MRN.23.72;BLOCK RASOMURO 45/12 AJUST ALT 230x72,5cm;MRN;;;;3;;;540,97
MRN.23.82;BLOCK RASOMURO 45/12 AJUST ALT 230x82,5cm;MRN;;;;3;;;543,787
MRN.23.92;BLOCK RASOMURO 45/12 AJUST ALT 230x92,5cm;MRN;;;;3;;;562,606
MRN.23.102;BLOCK RASOMURO 45/12 AJUST ALT 230x102,5cm;MRN;;;;3;;;573,429
